sentence,position,lemma,pos
"With the completion of the Tamiami Trail that attracted many tourists to the everglades, the Everglades National Park was established forcing the Seminole tribe to have to relocate and abide by new laws which prohibited hunting inside the everglades.","(185, 190)",abide_by,V
"""But the anointing which you have received from Him abides in you, and you do not need that any man teach you; but that same anointing teaches you concerning all things ... "" (1 John 2:20, 27) The ""works of the law"" had established the Jewish believers in a mold of Torah-observance but the mold, the ""wineskin"", was inflexible, and gave no room for the fluidity of the Spirit of the Law (Luke 5:33-39).","(52, 58)",abide_by,V
"However, be that as it may, it is the clear duty of everyone to do their utmost to accept regulations as they come, abide by them as far as practical, and do everything possible to discourage the corruption of morals and principles which seem to be the unfortunate wake of Regulations.","(116, 121)",abide_by,V
"""As the Father has loved Me, I also have loved you; abide in My love.","(52, 57)",abide_by,V
"First, abiding means that we can request what we will and God will do it for us.","(7, 14)",abide_by,V
He is the 'other Comforter/Counsellor' who will abide with us forever.,"(48, 53)",abide_by,V
plainTeX equivalents \count and \newcount\mycounter do abide by the backslash rule.,"(55, 60)",abide_by,V
"For example, we predict that most people abide by posted speed limits on roadways.","(41, 46)",abide_by,V
"If a reporter fails to abide by a press embargo and prematurely releases a story or a reporter names an informant that asked to be kept confidential, the reporter will have to issue a letter of apology to the Kisha Club or Clubs that he is a member of.","(23, 28)",abide_by,V
"We have to assume that the author is making a point, that the laws really only affect the behaviour of the law-abiding citizens, and that increasing the penalty does not seem to have much affect on those who would break the law anyway.","(111, 118)",abide_by,V
"Lemon lightens the color of tea and may accentuate any bitterness in the tea Lemon pairs well with citrus-flavored teas, such as the bergamot-enhanced ""Grey"" teas (e.g., Earl Grey, Lady Grey, etc.","(40, 50)",accentuate,V
"In addition to creating obvious physical differences, puberty accentuates gender role differences for at least some teenagers.","(62, 73)",accentuate,V
"The study and development of ceramics includes methods to mitigate problems associated with these characteristics, and to accentuate the strengths of the materials as well as to investigate novel applications.","(122, 132)",accentuate,V
"Only when the whole sheet has been preprocessed, then it will be spread out on the ground and with a brush (made from Pandanus seeds) the women will accentuate the faintly visible marks with some more generous paint, this time made from the tongo, the mangrove (Rhizophora mangle).","(149, 159)",accentuate,V
"This is positioned behind and a little above the model, and serves to accentuate the upper silhouette (particularly the head and shoulders), and make our model stand out from the background.","(70, 80)",accentuate,V
I recommend that you review the audio script in the Instructor notes and consider what type of animation that would accentuate your presentation.,"(116, 126)",accentuate,V
Exaggeration is used to accentuate an action or idea.,"(24, 34)",accentuate,V
"Thus, glucose oxidation, fat synthesis, and glycogen synthesis are all accentuated by an uptake of glucose.","(71, 82)",accentuate,V
Waits became higher and higher and settles right underneath the chest where there would be an elaborate belt that accentuated that area of the body.,"(114, 125)",accentuate,V
"Zeros in the transfer function can accentuate the slope close to their frequency, thus masking this general rule for zero-pole lowpass filters.","(35, 45)",accentuate,V
"A policy or effect is counter-cyclical if it tends to stabilize the economy, to cool down overheating and to reduce the inflation that accompanies it, or to counter recession, unemployment and deflation.","(135, 146)",accompany,V
"Wallmasters were one of the most loathed monsters in the game, due to the apprehension accompanying any player unfortunate to become victim to it, punctured by its signature 'roar' before its killing strike.","(87, 99)",accompany,V
Measurements and categorizations in scientific work are also usually accompanied by estimates of their uncertainty or disclaimers concerning the scope of initial observations.,"(69, 80)",accompany,V
"Then Holberg has an excellent opportunity to join a general satire on lawyers’ methods with a specific attack on their proneness to unwarranted suspicion, one of the evils which ordinarily accompanies belief in witchcraft"" (Sanderson, 1939 p 222).","(189, 200)",accompany,V
"In the beginning of the game, Princess Zelda senses a weakening of Vaati's seal and asks Link to accompany her in repairing it.","(97, 106)",accompany,V
"This is very likely to be accompanied by political, financial and economic turmoil, armed conflicts leading to fundamental shifts in the balance of power between nations.","(26, 37)",accompany,V
"A petronella is done just like a regular pas de basque or strathspey setting step, with the same foot-to-beat pattern going on as the setting step, only it begins with the right foot going forward into fourth position rather than second position, the weight-shift portions accompanied by a pulling-back of the right shoulder, then the left foot going back into fourth position behind, continuing the pulling-back of the right shoulder such that, when you've finished, you're now half-way across the dance, facing to the left of where you started the petronella.","(273, 284)",accompany,V
"They should also include written reflections to accompany each entry that demonstrate the student’s knowledge, skills, and application of what they have learned (Valdez, 2001).","(48, 57)",accompany,V
Lo is the only Spanish word classified as neuter gender (although it is always accompanied by masculine adjectives).,"(79, 90)",accompany,V
"Where a mask is accompanied with a structure, the mask always precedes the pointer to the structure in the argument list.","(16, 27)",accompany,V
We can accomplish this by attaching a negative source to one end of our conductor and a positive source to the other end.,"(7, 17)",accomplish,V
"Neutron reflectors and “boosters” are generally used to accomplish this, nonetheless, this basic type of weapon is inefficient, although easy to design and incredibly deadly.","(56, 66)",accomplish,V
"Through numbers, they can accomplish projects too complicated or large to handle otherwise.","(26, 36)",accomplish,V
"This can be accomplished by adding measured amounts of water, but this additional water will need to be figured into the overall water volume, and too much water will require a longer boil, and it gets kinda sticky from there.","(12, 24)",accomplish,V
"This is accomplished, according to instructions, as coded, from the sending source, via the Electron Gun.","(8, 20)",accomplish,V
The White Block here doesn't really help you accomplish anything neat.,"(45, 55)",accomplish,V
"(however, this is rarely the same) a sample of individuals from a population must contain the same variations that exist in the population Probability samples are typically more representative than other types of samples because biases are less common This is very difficult to accomplish, and often is not 100% accurately done.","(278, 288)",accomplish,V
The first was accomplished in the exodus from Egypt.,"(14, 26)",accomplish,V
"Inquiry-based learning is more than just identifying a task, collecting information and accomplishing the task.","(88, 101)",accomplish,V
Each of them is the substructure for the work of the Spirit to be accomplished in one's life.,"(66, 78)",accomplish,V
"According to Schwager, Goats were more restless then sheep and this is why they are referred to as the evil of the two.","(0, 9)",accord,V
"According to Raymond Williams, the word 'labour' appeared in the English language at the beginning of the XIV century.","(0, 9)",accord,V
Another equally common classification system divides the structures according to function i.e.,"(68, 77)",accord,V
"According to Toshiyuki Tanaka, 76 cases of rape or rape-murder were reported on Okinawa during the first five years of occupation.","(0, 9)",accord,V
"According to an article published in Nature ,a weekly science journal, peer reviewing acts a filter (Nature, 2006).","(0, 9)",accord,V
"According to Yih-Fen and Michael A. Martin a portfolio should be a joint effort of the child, teacher and parent.","(0, 9)",accord,V
refusing His instruction and going off according to our own understanding.,"(39, 48)",accord,V
"In his Sermon on the Mount, Jesus contrasted worship of God and running after material possessions and warned, “You cannot serve both God and money.” According to Acts of the Apostles | Acts, Stephen summarizes the spiritual history of Israel and quotes the prophet Amos, who identified the worship of foreign gods as a reason for Israel’s defeat by the Babylonians and subsequent exile.","(150, 159)",accord,V
"According to Bjørndal (2011), in the early stages of Rogers ́ career, he had a skills approach to empathy, but eventually he distanced himself from this approach with too much focus on the skills.","(0, 9)",accord,V
"According to ACGME's,Accreditation Council for Graduate Medical Education website; ACGME “is a private, non-profit council that evaluates and accredits medical residency programs in the United States.","(0, 9)",accord,V
"Generally BMP, JPG, and most often the preferred TGA file types act as source files for texture.txt control files, both of which are combined by CM into dot-texture files.","(64, 67)",act_out,V
Cache Types Prefetch Cache(P-Cache)- used to store data that has been brought in as a result of a prefetch operation W-Cache - acts as a holding station for stored data.,"(127, 131)",act_out,V
This is the case where the grantor is acting through an agent with unlimited authority or has no competency to dispose of property.,"(38, 44)",act_out,V
"When we place such 'regulating' device, such as a transistor in the way of constant energy source it acts like a resistance which absorbs and converts energy in a way that makes this source no more constant but controlled.","(101, 105)",act_out,V
"We later learn that Professor Moody had deliberately let the information about Gillyweed slip when Dobby was in earshot, in hopes that Dobby would act on it.","(147, 150)",act_out,V
"There are no worker bees for these species, as essentially laying females act as both a worker and queen in and of her self.","(74, 77)",act_out,V
"This pilot study was an investigative exercise intervention: a randomised, controlled cross-over trial where the participants acted as their own controls throughout the study.","(126, 131)",act_out,V
"With Amibridge, AROS attempts to make the UAE emulator seem embedded within but it still is acting as an app There is no dynarec m68k for each hardware that Aros supports or direct patching of motorola calls to AROS hardware accelerated ones unless the emulator has that included Try starting Janus with a priority of -1 like this little script: cd sys:system/AmiBridge/emulator changetaskpri -1 run janus-uae -f my_uaerc.config >nil: cd sys:prefs endcli This stops it hogging all the CPU time.","(92, 98)",act_out,V
A positive test shows that the chemical can act as a carcinogen.,"(44, 47)",act_out,V
"Only then can this platform be truly user-generated and act as a meta-world of different cultures, ideas and most importantly: a catalyst for change.","(56, 59)",act_out,V
"This chapter was adapted from the Wikipedia articles Italic type, Emphasis (typography), Small caps, and Underline.","(17, 24)",adapt,V
"This means that, with the right 'open' license, resources like textbooks, websites, videos, curricula, lesson plans, audio and image files can be free to share and adapt according to pedagogical needs.","(164, 169)",adapt,V
"New social norms are developed around new technologies, which can lead to social friction as groups adapt to their new environment and technologies.","(100, 105)",adapt,V
"They do not, however, contain any memory of previous spikes, nor are they capable of adapting their behavior according to temporal dynamics.","(85, 93)",adapt,V
"In her planning she tended to stick rigidly to the schemes of work used in the department, rarely adapting materials (Q10) or responding to her own lesson evaluations (Q8).","(98, 106)",adapt,V
"Sustainability refers to a balance between two elements, the way in which she questions emphasizes the idea that balance is not enough it should be given even more room for nature to expand and grow, to have the opportunity to adapt, and to give nature the fundamental rights of any human, as its integrity should be respected, it should develop, and prevail overtime not being sublimated.","(227, 232)",adapt,V
"As formerly remarked, I use hypnotism ALONE only in a certain class of cases, to which I consider it peculiarly adapted — and I use it in conjunction with medical treatment, in some other cases; but, in the great majority of cases, I do not use hypnotism at all, but depend entirely upon the efficacy of medical, moral, dietetic, and hygienic treatment, prescribing active medicines in such doses as are calculated to produce obvious effects"" — James Braid, Magic, Witchcraft, Animal Magnetism, Hypnotism, and Electro-Biology, etc., (1852), pp.90-91 (emphasis in the original).","(112, 119)",adapt,V
"Several ""adaptive"" compression algorithms, such as Polar tree coding, can get better compression than Huffman because they converge on the probability distribution, or adapt to a changing probability distribution, without ever explicitly sending a frequency table.","(168, 173)",adapt,V
"Localization In the context of software, localization is the process of adapting, translating and customizing a product for a specific market.","(72, 80)",adapt,V
I've looked into the material settings of your GMax Romulus(I couldn't take a look at it as I have unsolved missing dependencies) and tried to adapt the Blender settings to what I've found in your *.im file.,"(143, 148)",adapt,V
Candidates should be able to alert users before switching runlevels / boot targets and properly terminate processes.,"(29, 34)",alert,V
"This is beneficial because diabetics do not always feel their levels dropping or rising, therefore they are alerted when their blood sugar reaches an alarming level so they are able to take care of it.","(108, 115)",alert,V
"If the build is broken, it can be configured to alert individuals by email.","(48, 53)",alert,V
"According to Dumbledore later, Snape had immediately checked on Sirius' safety, then alerted the Order of the Phoenix when Harry and Hermione did not return from the Forbidden Forest.","(85, 92)",alert,V
They usually emit a hissing sound when alerted and have 60 HP.,"(39, 46)",alert,V
Its software will also alert you when it detects suspicious movements while your away.,"(23, 28)",alert,V
"That way when the guards are alerted to your presense, you can take a quick shot at the carrier before he gets to the helicopter, grab the dossier and run away.","(29, 36)",alert,V
It checks for the case of there being no movies to play and alerts the user rather than just doing nothing and being mysterious to the user.,"(60, 66)",alert,V
"If a page is a copy+paste copy of another page here on Wikibooks, use {{copied}} to alert users about the previous location of the page, and stay in compliance with the licensing.","(84, 89)",alert,V
Push notifications are digital notifications that alert users that an update has occurred in their app.,"(50, 55)",alert,V
"Sedimentary rock consisting of alternating bands of iron oxide and other sedimentary rock, typically chert.","(31, 42)",alternate,V
"∑ n = 1 ∞ ( − 1 ) n 2 n e n − 1 \sum _{n=1}^{\infty }{\frac {(-1)^{n}2^{n}}{e^{n}-1}} Hint limit comparison test with geometric series limit comparison test with geometric series Answer only converges absolutely converges absolutely Full solution While this alternating series can be shown to converge by the alternating series test, it can also be shown that the absolute value of the terms form a convergent series, and this is sufficient to conclude absolute convergence of the original series.","(309, 320)",alternate,V
"The impulses in the aerial circuit consist of a major wave at audible frequency, impressed upon a radio frequency alternating current in such a way as to change or modulate its amplitude.","(114, 125)",alternate,V
"Such volcanoes are characterized by alternating periods of quiet and episodic eruptions that start with explosive gas expulsion with fine particles of glassy volcanic ash and spongy cinders, followed by a rebuilding phase with hot magma.","(36, 47)",alternate,V
"For various reasons, the Kamakura shogunate decided to allow two contending imperial lines—known as the Southern Court, or junior line, and the Northern Court, or senior line—to alternate on the throne.","(178, 187)",alternate,V
"With certain equipment, such as an INVERTER, [changes Direct Current into A.C.], (Alternating Current)], {as in your home}], coupled with the use of batteries, [as in your car].","(82, 93)",alternate,V
slide.css DSA 2008 - Lecture 1 - Chris Wallace Teaching approach 1 lecture a week Interaction using SMS whiteboard and Multi-choice cube 1 2-hour workshop every 2 weeks - write down the weeks you have been allocated 2 hour Research time every 2 weeks (alternating with the workshops) - independent study with tutor support Teaching resources in UWEOnline and in the studentWiki  ...,"(260, 271)",alternate,V
Alternating current can be defined as current which flows both forwards and backwards.,"(0, 11)",alternate,V
"Actually putting the cutting edge to the teeth, working from alternating sides and filing towards the handle.","(61, 72)",alternate,V
"To make the compile and link steps easier to run repeatedly -- as we might want to do when alternating between editing and testing -- we can put the commands in a shell script, ""Greenspace.bat"" in DOS/Windows, or ""Greenspace.sh"" for UNIX.","(91, 102)",alternate,V
"Orton proves to us in this play that we can be amused by behavior we would normally deplore, and that we can even attend raptly as evil goes unpunished.","(47, 53)",amuse,V
"After a few exchanges, the lights go out and a gun-shot is heard, with the result that he is the only one amused.","(106, 112)",amuse,V
"He was a young god who saw nothing wrong with lying and stealing, if it amused him.","(72, 78)",amuse,V
She amuses herself with her lovers and is concerned to better her husband's position.,"(4, 10)",amuse,V
"To amuse her further, he grimaces like a clown, but Lira is unable to see him.","(3, 8)",amuse,V
"They would be amused by the boy’s concerns, yet they would also be able to relate to his anxiety with change.","(14, 20)",amuse,V
